id,school,stratum,gender,age,bullied,escs,skip_sch,CM033Q01S,CM474Q01S,CM155Q01S,CM155Q04S,CM411Q01S,CM411Q02S,CM803Q01S,CM442Q02S,CM034Q01S,CM305Q01S,CM496Q01S,CM496Q02S,CM423Q01S,CM192Q01S,CM603Q01S,CM571Q01S,CM564Q01S,CM564Q02S,CM447Q01S,CM273Q01S,CM408Q01S,CM420Q01S,CM446Q01S,CM559Q01S,CM828Q03S,CM464Q01S,CM800Q01S,CM982Q01S,CM982Q02S,CM982Q03S,CM982Q04S,CM992Q01S,CM992Q02S,CM915Q01S,CM915Q02S,CM906Q01S,CM909Q01S,CM909Q02S,CM909Q03S,CM949Q01S,CM949Q02S,CM00GQ01S,CM955Q03S,CM905Q01S,CM919Q01S,CM919Q02S,CM954Q01S,CM954Q04S,CM943Q01S,CM943Q02S,CM953Q03S,CM948Q01S,CM948Q02S,CM948Q03S,CM936Q01S,CM939Q02S,CM967Q01S,CM967Q03S
9600654,9600002,BRN02,1,15.83,1.0274,-1.0491,0,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
9600672,9600002,BRN02,1,16,0.0959,0.8944,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,0,,,,,,,,0,,
9600686,9600002,BRN02,1,15.5,0.638,-0.2372,0,,,,,,,,,,,,,,,,,,,,,0,,,1,0,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
9600734,9600002,BRN02,1,16.25,1.1008,-0.9459,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
9600739,9600002,BRN02,1,15.42,2.2044,-0.155,1,,0,,,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
9600806,9600002,BRN02,1,15.42,-0.267,-0.0627,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
9600863,9600002,BRN02,1,15.58,0.2538,0.5349,0,,,,,,,0,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,1,0,0,,,1,0
9600871,9600002,BRN02,1,15.5,-1.228,-0.2979,0,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,0,,,,,,,,,,,,,0,0
9600901,9600002,BRN02,1,15.67,0.4829,1.2326,0,,,,,,,,0,,0,,,,,1,0,,,,1,,,,,,0,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,
9600906,9600002,BRN02,1,15.92,-0.267,-0.2502,0,1,,,,1,0,,,,0,0,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,1,1,,,,,,,,,,,,
9600945,9600002,BRN02,1,15.67,-1.228,-1.1768,1,,,,,,,,0,,,,,1,,1,,,,,,,,,,,,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,
9600996,9600002,BRN02,1,15.92,0.0959,-1.2296,0,,,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,1,0,,,0,,,,,,,,,
