score,school,gender,age,bullied,escs,skip_sch
81,AB,F,16.08,-1.228,-0.4448,0
84,AB,F,15.75,-1.228,0.1767,0
52,AB,F,15.83,0.4253,-0.6662,1
61,AB,F,15.5,0.5381,-0.7764,0
36,AB,F,15.92,1.0452,-2.105,0
37,AB,F,16.17,0.2988,-0.267,0
61,AB,F,15.33,0.7516,-0.8879,0
86,AB,F,15.67,-1.228,0.6875,0
70,AB,F,15.58,1.3275,-1.9497,1
49,AB,F,16,1.0336,-0.297,0
32,AB,F,15.92,-0.391,0.2178,0
12,AB,F,15.67,2.1087,-0.2331,1
66,AB,F,15.92,-0.267,0.4501,0
75,AB,F,16,-1.228,0.1999,0
36,AB,F,15.92,1.4806,-0.9143,0
63,AB,F,15.42,-1.228,0.9277,0
57,AB,F,15.92,-1.228,-0.2516,0
71,AB,F,16,0.1361,-0.6257,0
44,AB,F,15.58,1.4316,-0.1975,0
59,AB,F,16.17,1.4825,1.4381,0
54,AC,F,15.58,-1.228,0.2283,0
41,AC,M,15.67,-1.228,-1.162,0
44,AC,M,15.33,1.7433,-0.0634,0
60,AC,M,15.5,0.7726,0.6069,0
50,AC,F,15.42,0.2988,-1.1646,0
20,AC,F,16.17,0.5215,-0.6239,0
34,AC,M,15.83,1.284,0.3698,0
53,AC,F,15.58,-1.228,-1.2517,1
41,AC,M,15.83,0.7812,-1.0079,0
32,AC,F,16,1.3196,0.324,0
53,AC,M,15.83,-1.228,-0.3969,0
37,AC,M,15.83,1.0896,-0.37,1
65,AC,M,15.33,0.842,-1.4949,0
29,AC,F,16.08,-1.228,-1.1064,0
96,AC,M,16.08,2.3194,0.9359,0
41,AC,M,15.33,0.6415,-1.0289,0
57,AC,M,15.5,-1.228,-0.3599,0
39,AC,M,15.83,0.6616,-0.5207,0
72,AC,F,16.08,-0.391,0.7556,0
50,AC,M,15.83,-1.228,-1.431,0
80,AC,F,15.67,1.1453,-0.3106,1
20,AC,M,16,2.3138,2.017,0
54,AC,F,15.83,-1.228,-0.6979,0
57,AC,F,16.08,0.2289,-0.0325,0
30,AC,F,15.5,0.379,-1.0593,0
89,AC,F,16,-1.228,0.0316,0
86,AC,M,15.67,0.6302,1.231,0
22,AC,M,15.92,1.5274,0.033,0
36,AC,M,16.17,-1.228,-0.4289,1
42,AC,M,16.08,-1.228,0.9011,0
43,AC,M,15.67,1.1358,0.0436,0
44,AC,F,16.17,-1.228,-0.5787,0
40,AC,F,15.92,-1.228,0.2876,0
28,AC,F,16.08,-0.267,-1.3677,0
69,AC,M,15.75,-1.228,0.797,0
30,AC,M,15.58,1.0452,0.7651,1
24,AC,F,16.25,-1.228,0.6903,0
35,AC,F,15.67,-0.267,-0.3515,0
34,AC,M,15.83,1.4564,1.0359,1
31,AC,F,15.42,-0.267,0.6866,0
38,AC,F,16.17,0.2988,-1.1871,1
48,AC,F,15.83,0.996,-1.428,0
68,AC,M,16.17,-1.228,-1.0389,0
60,AC,M,16,-0.0351,-0.1517,0
85,AC,M,16.17,-1.228,0.7354,0
42,AC,F,15.42,-1.228,-1.0727,0
17,AC,F,16.08,1.1073,-1.4095,0
44,AC,F,16,1.1825,0.0215,0
45,AC,M,15.83,1.2779,-0.6586,0
28,AC,F,15.42,1.2155,0.8862,0
62,AC,F,15.5,-1.228,0.7864,0
73,AC,M,15.75,0.2988,-0.4016,0
41,AC,M,16.17,0.6364,1.4092,1
19,AC,M,15.42,-1.228,-0.9437,1
63,AC,M,15.75,1.7486,0.3406,0
39,AC,F,15.5,0.9078,0.0712,0
29,AC,M,15.58,1.1429,-1.2759,1
54,AC,M,15.83,-0.2016,-2.2585,0
53,AC,F,16.17,-1.228,-0.0612,0
53,AC,F,15.67,-1.228,-1.3471,0
66,AC,M,15.75,0.6738,-1.4591,1
31,AC,M,15.5,1.7015,-1.4607,1
69,AC,F,15.42,-0.267,0.1222,0
53,AC,M,15.5,-0.267,-0.6284,1
